FY_CODE,WPI_ORG_NAME,ORG_CODE,ORG_TYP_CODE,WPI_SPOP_FLNE_CNT,WPI_SPOP_FLNE_PCT,WPI_SPOP_LEP_CNT,WPI_SPOP_LEP_PCT,WPI_SPOP_SPED_CNT,WPI_SPOP_SPED_PCT,WPI_SPOP_FLUNCH_CNT,WPI_SPOP_FLUNCH_PCT,WPI_SPOP_FLUNCH_FR_CNT,WPI_SPOP_FLUNCH_FR_PCT,WPI_SPOP_FLUNCH_RP_CNT,WPI_SPOP_FLUNCH_RP_PCT,WPI_SPOP_HN_CNT,WPI_SPOP_HN_PCT
1995,ABINGTON,10000,5,11,0.50%,3,0.10%,402,18%,221,9.90%,,,,,,
1996,ABINGTON,10000,5,13,0.60%,2,0.10%,369,16.20%,238,10.40%,,,,,,
1997,ABINGTON,10000,5,9,0.40%,1,0%,332,14.20%,284,12.20%,,,,,,
1998,ABINGTON,10000,5,20,0.90%,0,0%,335,14.70%,271,11.90%,,,,,,
1999,Abington,10000,5,24,1.10%,,,342,15%,236,10.40%,,,,,,
2000,ABINGTON,10000,5,7,0.30%,1,0%,342,15.10%,218,9.60%,,,,,,
2001,ABINGTON                      ,10000,5,14,0.60%,4,0.20%,351,15.10%,182,7.80%,,,,,,
2002,Abington,10000,5,17,0.70%,1,0%,334,14.50%,180,7.80%,,,,,,
2003,Abington,10000,5,23,1%,9,0.40%,324,13.80%,190,8.10%,,,,,,
2004,Abington,10000,5,8,0.30%,2,0.10%,289,11.80%,181,7.40%,,,,,,
2005,Abington,10000,5,9,0.40%,2,0.10%,332,13.70%,196,8.20%,,,,,,
2006,Abington,10000,5,13,0.60%,4,0.20%,314,13.20%,206,8.70%,,,,,,
2007,Abington,10000,5,27,1.20%,4,0.20%,335,14.20%,246,10.50%,170,7.30%,76,3.30%,,
2008,Abington,10000,5,34,1.50%,23,1%,363,15.40%,265,11.40%,197,8.50%,68,2.90%,,
2009,Abington,10000,5,55,2.40%,35,1.50%,371,15.90%,295,12.90%,211,9.20%,84,3.70%,,
2010,Abington,10000,5,44,2%,10,0.50%,348,15.60%,303,13.80%,217,9.90%,86,3.90%,,
2011,Abington,10000,5,50,2.50%,12,0.60%,333,16.30%,311,15.40%,240,11.90%,71,3.50%,,
2012,Abington,10000,5,54,2.70%,32,1.60%,315,15.30%,385,19%,309,15.30%,76,3.80%,,
2013,Abington,10000,5,73,3.60%,51,2.50%,292,14.20%,481,23.70%,387,19.10%,94,4.60%,710,34.50%
2014,Abington,10000,5,77,3.90%,43,2.20%,264,13.30%,391,20%,331,16.90%,60,3.10%,622,31.30%
2012,Center Elementary School,10002,6,10,5.10%,7,3.60%,20,10.20%,6,3%,5,2.50%,1,0.50%,,
2013,Center Elementary School,10002,6,15,7.90%,8,4.20%,22,11.60%,16,8.40%,15,7.90%,1,0.50%,40,21.10%
2014,Center Elementary School,10002,6,14,7.80%,2,1.10%,25,14%,11,6.10%,11,6.10%,0,0%,35,19.60%
1995,ABINGTON ECC,10003,6,0,0%,0,0%,0,0%,35,9.20%,,,,,,
1996,ABINGTON ECC,10003,6,1,0.20%,0,0%,0,0%,90,15.40%,,,,,,
1997,ABINGTON ECC,10003,6,1,0.20%,0,0%,0,0%,92,14.80%,,,,,,
1998,ABINGTON ECC,10003,6,5,0.80%,0,0%,0,0%,101,16.30%,,,,,,
1999,Abington ECC,10003,6,5,0.80%,,,,,74,12.60%,,,,,,
2000,ABINGTON ECC,10003,6,0,0%,0,0%,0,0%,46,7.70%,,,,,,
2001,Abington ECC                        ,10003,6,1,0.20%,0,0%,0,0%,54,9%,,,,,,
2002,Abington ECC,10003,6,2,0.30%,0,0%,0,0%,48,8%,,,,,,
2003,Abington ECC,10003,6,0,0%,0,0%,0,0%,41,6.90%,,,,,,
2004,Abington ECC,10003,6,0,0%,0,0%,69,11%,41,6.50%,,,,,,
2005,Abington ECC,10003,6,0,0%,0,0%,74,12.40%,43,7.20%,,,,,,
2006,Abington ECC,10003,6,0,0%,0,0%,52,9%,53,9.20%,,,,,,
2007,Abington ECC,10003,6,15,2.70%,0,0%,68,12.10%,54,9.60%,35,6.20%,19,3.40%,,
2008,Abington ECC,10003,6,24,4.40%,23,4.20%,69,12.50%,73,13.30%,48,8.70%,25,4.50%,,
2009,Abington ECC,10003,6,27,5%,25,4.70%,61,11.40%,66,12.30%,47,8.80%,19,3.60%,,
