REC_YEAR,ORG_CODE,SCHOOL,MAT_ID,MAT_ABBREVIATION,MCORE_HS_GRAD,MCORE_COMPL,MCORE_PCT,SORT
2010,2010000,,95,ELL,26,0,0%,50
2011,2010000,,95,ELL,24,0,0%,50
2011,4690000,,10,Male,13,0,0%,30
2009,90000,,9,Low income,19,19,100%,60
2009,10000,10505,5,All Students,140,140,100%,10
2009,10000,10505,11,Female,70,70,100%,20
2009,10000,10505,10,Male,70,70,100%,30
2009,10000,10505,12,High needs,28,28,100%,40
2009,10000,10505,9,Low income,18,18,100%,60
2009,10000,10505,99,Students w/disabilities,9,9,100%,70
2009,10000,10505,89,Hispanic/Latino,9,9,100%,110
2009,10000,10505,90,White,120,120,100%,140
2009,10000,,5,All Students,142,142,100%,10
2009,10000,,11,Female,71,71,100%,20
2009,10000,,10,Male,71,71,100%,30
2009,10000,,12,High needs,30,30,100%,40
2009,10000,,9,Low income,19,19,100%,60
2009,10000,,99,Students w/disabilities,11,11,100%,70
2009,10000,,89,Hispanic/Latino,9,9,100%,110
2009,10000,,90,White,122,122,100%,140
2009,50000,50505,5,All Students,292,3,1%,10
2009,50000,50505,11,Female,148,1,0.7%,20
2009,50000,50505,10,Male,144,2,1.4%,30
2009,50000,50505,12,High needs,79,1,1.3%,40
2009,50000,50505,95,ELL,6,0,0%,50
2009,50000,50505,9,Low income,58,1,1.7%,60
2009,50000,50505,99,Students w/disabilities,33,0,0%,70
2009,50000,50505,89,Hispanic/Latino,9,1,11.1%,110
2009,50000,50505,90,White,275,2,0.7%,140
2009,50000,,5,All Students,303,3,1%,10
2009,50000,,11,Female,150,1,0.7%,20
2009,50000,,10,Male,153,2,1.3%,30
2009,50000,,12,High needs,85,1,1.2%,40
2009,50000,,95,ELL,6,0,0%,50
2009,50000,,9,Low income,59,1,1.7%,60
2009,50000,,99,Students w/disabilities,38,0,0%,70
2009,50000,,89,Hispanic/Latino,10,1,10%,110
2009,50000,,90,White,284,2,0.7%,140
2009,70000,70505,5,All Students,145,145,100%,10
2009,70000,70505,11,Female,81,81,100%,20
2009,70000,70505,10,Male,64,64,100%,30
2009,70000,70505,12,High needs,22,22,100%,40
2009,70000,70505,9,Low income,16,16,100%,60
2009,70000,70505,99,Students w/disabilities,10,10,100%,70
2009,70000,70505,92,"Multi-race, Non-Hisp./Lat.",7,7,100%,120
2009,70000,70505,90,White,132,132,100%,140
2009,70000,,5,All Students,145,145,100%,10
2009,70000,,11,Female,81,81,100%,20
2009,70000,,10,Male,64,64,100%,30
2009,70000,,12,High needs,22,22,100%,40
2009,70000,,9,Low income,16,16,100%,60
2009,70000,,99,Students w/disabilities,10,10,100%,70
2009,70000,,92,"Multi-race, Non-Hisp./Lat.",7,7,100%,120
2009,70000,,90,White,132,132,100%,140
2009,90000,90505,5,All Students,402,402,100%,10
2009,90000,90505,11,Female,205,205,100%,20
2009,90000,90505,10,Male,197,197,100%,30
2009,90000,90505,12,High needs,67,67,100%,40
2009,90000,90505,9,Low income,19,19,100%,60
2009,90000,90505,99,Students w/disabilities,55,55,100%,70
2009,90000,90505,88,Asian,30,30,100%,100
2009,90000,90505,89,Hispanic/Latino,13,13,100%,110
2009,90000,90505,90,White,351,351,100%,140
2009,90000,,5,All Students,406,406,100%,10
2009,90000,,11,Female,206,206,100%,20
2009,90000,,10,Male,200,200,100%,30
2009,90000,,12,High needs,71,71,100%,40
2009,90000,,99,Students w/disabilities,59,59,100%,70
2009,90000,,88,Asian,30,30,100%,100
2009,90000,,89,Hispanic/Latino,14,14,100%,110
2009,90000,,90,White,354,354,100%,140
2009,100000,100505,5,All Students,288,211,73.3%,10
2009,100000,100505,11,Female,137,101,73.7%,20
2009,100000,100505,10,Male,151,110,72.8%,30
2009,100000,100505,12,High needs,91,55,60.4%,40
2009,100000,100505,95,ELL,13,7,53.8%,50
2009,100000,100505,9,Low income,44,26,59.1%,60
2009,100000,100505,99,Students w/disabilities,51,30,58.8%,70
2009,100000,100505,87,Afr. Amer./Black,16,9,56.3%,80
2009,100000,100505,88,Asian,19,15,78.9%,100
2009,100000,100505,89,Hispanic/Latino,14,9,64.3%,110
2009,100000,100505,92,"Multi-race, Non-Hisp./Lat.",6,5,83.3%,120
2009,100000,100505,90,White,233,173,74.2%,140
2009,100000,,5,All Students,291,214,73.5%,10
2009,100000,,11,Female,138,102,73.9%,20
2009,100000,,10,Male,153,112,73.2%,30
2009,100000,,12,High needs,94,58,61.7%,40
2009,100000,,95,ELL,13,7,53.8%,50
2009,100000,,9,Low income,44,26,59.1%,60
2009,100000,,99,Students w/disabilities,54,33,61.1%,70
2009,100000,,87,Afr. Amer./Black,16,9,56.3%,80
2009,100000,,88,Asian,19,15,78.9%,100
2009,100000,,89,Hispanic/Latino,14,9,64.3%,110
2009,100000,,92,"Multi-race, Non-Hisp./Lat.",6,5,83.3%,120
2009,100000,,90,White,236,176,74.6%,140
2009,140000,140505,5,All Students,178,119,66.9%,10
2009,140000,140505,11,Female,104,73,70.2%,20
2009,140000,140505,10,Male,74,46,62.2%,30
2009,140000,140505,12,High needs,32,12,37.5%,40
2009,140000,140505,9,Low income,13,6,46.2%,60
2009,140000,140505,99,Students w/disabilities,22,6,27.3%,70
2009,140000,140505,88,Asian,9,8,88.9%,100
2009,140000,140505,89,Hispanic/Latino,10,4,40%,110
2009,140000,140505,92,"Multi-race, Non-Hisp./Lat.",6,6,100%,120
2009,140000,140505,90,White,149,99,66.4%,140
2009,140000,,5,All Students,181,119,65.7%,10
2009,140000,,11,Female,105,73,69.5%,20
2009,140000,,10,Male,76,46,60.5%,30
2009,140000,,12,High needs,35,12,34.3%,40
2009,140000,,9,Low income,13,6,46.2%,60
2009,140000,,99,Students w/disabilities,25,6,24%,70
2009,140000,,88,Asian,9,8,88.9%,100
2009,140000,,89,Hispanic/Latino,10,4,40%,110
2009,140000,,92,"Multi-race, Non-Hisp./Lat.",6,6,100%,120
2009,140000,,90,White,152,99,65.1%,140
2009,160000,160505,5,All Students,371,371,100%,10
2009,160000,160505,11,Female,195,195,100%,20
2009,160000,160505,10,Male,176,176,100%,30
2009,160000,160505,12,High needs,147,147,100%,40
2009,160000,160505,95,ELL,19,19,100%,50
2009,160000,160505,9,Low income,108,108,100%,60
2009,160000,160505,99,Students w/disabilities,61,61,100%,70
2009,160000,160505,87,Afr. Amer./Black,13,13,100%,80
2009,160000,160505,88,Asian,10,10,100%,100
2009,160000,160505,89,Hispanic/Latino,30,30,100%,110
2009,160000,160505,92,"Multi-race, Non-Hisp./Lat.",17,17,100%,120
2009,160000,160505,90,White,296,296,100%,140
2009,160000,,5,All Students,371,371,100%,10
2009,160000,,11,Female,195,195,100%,20
2009,160000,,10,Male,176,176,100%,30
2009,160000,,12,High needs,147,147,100%,40
2009,160000,,95,ELL,19,19,100%,50
2009,160000,,9,Low income,108,108,100%,60
2009,160000,,99,Students w/disabilities,61,61,100%,70
2009,160000,,87,Afr. Amer./Black,13,13,100%,80
2009,160000,,88,Asian,10,10,100%,100
2009,160000,,89,Hispanic/Latino,30,30,100%,110
